226,150,165
225,151,161
225,152,156
223,153,152
222,154,147
221,155,143
219,156,139
217,157,134
215,159,130
212,160,126
210,161,123
207,163,119
204,164,116
201,166,113
198,167,110
194,168,108
190,170,106
187,171,105
183,173,104
178,174,104
174,175,104
170,176,105
165,178,106
160,179,107
155,180,109
150,181,112
145,182,114
139,183,117
134,184,121
128,185,124
123,186,128
117,186,132
111,187,136
106,188,140
100,188,144
94,189,149
89,189,153
83,189,157
79,189,162
74,189,166
71,189,170
68,189,175
66,189,179
66,189,183
66,188,187
68,188,191
71,187,194
75,186,198
80,185,201
86,184,204
92,183,207
98,182,210
105,181,212
112,179,215
119,178,217
125,177,219
132,175,220
139,173,222
145,172,223
152,170,223
158,168,224
164,167,224
170,165,224
176,163,223
181,161,223
186,160,222
191,158,220
195,157,219
200,155,217
203,154,215
207,153,213
210,152,210
213,151,207
216,150,204
218,149,201
220,149,198
222,148,194
223,148,190
225,148,186
225,148,182
226,149,178
226,149,174
226,150,169
