days_from_20160101,stimchoice1,stimchoice2,stimchosen,correct_stim,is_choice_color,chose_correct
27,9,2,9,2,1,0
27,10,11,10,10,0,1
27,0,12,0,0,0,1
27,13,8,13,8,0,0
27,3,12,3,3,1,1
27,5,8,5,8,0,0
27,9,7,9,7,1,0
27,4,9,4,9,0,0
27,5,4,5,4,1,0
27,2,0,2,0,1,0
27,5,4,5,4,1,0
27,8,11,8,8,0,1
27,1,3,1,3,0,0
27,6,12,6,6,1,1
27,13,1,13,13,0,1
27,12,6,12,6,1,0
27,0,9,0,0,1,1
27,3,2,3,3,1,1
27,2,3,2,3,1,0
27,11,7,11,11,1,1
27,3,5,3,5,1,0
27,6,8,6,6,1,1
27,7,2,7,7,1,1
27,11,3,11,11,1,1
27,9,11,9,11,1,0
27,11,11,11,11,1,1
27,0,12,0,0,0,1
27,9,13,9,9,1,1
27,5,3,5,5,1,1
27,8,4,8,4,1,0
27,6,10,6,10,1,0
27,2,7,2,7,1,0
27,6,9,6,9,1,0
27,9,4,9,9,0,1
27,10,9,10,9,1,0
27,2,0,2,2,0,1
27,12,7,12,7,1,0
27,7,5,7,5,1,0
27,0,6,0,0,1,1
27,12,10,12,10,0,0
27,1,6,1,1,1,1
27,7,12,7,7,1,1
27,5,5,5,5,1,1
27,7,5,7,7,0,1
27,5,3,5,3,0,0
27,7,8,7,7,0,1
27,3,0,3,3,0,1
27,8,9,8,8,0,1
27,7,12,7,12,0,0
27,4,10,4,4,1,1
27,4,1,4,4,0,1
27,0,13,0,0,0,1
27,1,7,1,1,0,1
27,11,10,11,10,1,0
27,10,13,10,13,1,0
27,4,7,4,4,1,1
27,9,7,9,7,0,0
27,8,1,8,8,1,1
27,11,4,4,11,0,0
27,9,7,9,9,1,1
27,9,12,9,9,0,1
27,7,0,7,0,1,0
27,4,3,4,3,0,0
27,6,0,6,0,1,0
27,0,7,0,0,0,1
27,5,6,5,6,0,0
27,11,8,11,8,1,0
27,8,10,8,10,1,0
27,13,5,13,5,1,0
27,10,11,10,10,1,1
27,13,12,13,13,1,1
27,5,6,5,6,1,0
27,1,7,1,1,0,1
27,3,11,3,11,0,0
27,5,6,5,6,0,0
27,12,11,12,11,1,0
27,4,4,4,4,0,1
27,0,9,0,0,1,1
27,9,1,9,1,1,0
27,4,7,4,7,1,0
27,5,8,5,8,1,0
27,5,1,1,1,0,1
28,7,4,7,4,1,0
28,3,7,3,7,0,0
28,10,1,10,10,1,1
28,10,12,10,12,0,0
28,1,2,1,1,1,1
28,10,12,10,12,0,0
28,8,12,8,12,0,0
28,12,12,12,12,0,1
28,7,10,7,7,1,1
28,6,13,6,6,1,1
28,2,10,2,2,1,1
28,8,10,8,8,1,1
28,10,6,10,6,1,0
28,2,7,7,2,0,0
28,3,1,3,1,0,0
28,10,3,10,10,0,1
28,0,2,0,0,0,1
28,12,0,12,12,1,1
28,2,2,2,2,1,1
28,10,11,10,10,0,1
28,3,8,3,3,1,1
28,4,0,4,0,1,0
28,11,2,11,11,0,1
28,8,7,8,8,1,1
28,5,9,5,9,0,0
28,7,4,7,7,1,1
28,10,8,10,8,0,0
28,12,4,12,4,0,0
28,5,5,5,5,0,1
28,7,11,7,11,1,0
28,9,4,9,9,0,1
28,9,2,9,2,1,0
28,1,6,1,1,1,1
28,10,10,10,10,1,1
28,7,9,7,7,1,1
28,8,5,8,5,1,0
28,3,1,3,3,1,1
28,10,1,10,1,1,0
28,3,6,3,6,1,0
28,8,13,8,8,0,1
28,11,5,11,11,1,1
28,3,4,3,4,1,0
28,2,13,2,13,0,0
28,7,6,7,6,1,0
