timestamp,days_from_20160101,stimchoice1,stimchoice2,stimchoice3,stimchoice4,stimchosen,correctidx,correct_stim,is_choice_color,chose_correct
1519396506000,784.6077083333333,14,6,9,5,6,1,14,1,0
1519396565000,784.6083912037037,4,2,12,5,2,4,5,0,0
1519396586000,784.6086342592592,6,13,11,2,11,1,6,1,0
1519396614000,784.6089583333334,11,1,13,12,1,4,12,1,0
1519396622000,784.6090509259259,13,9,5,3,13,2,9,0,0
1519396648000,784.6093518518519,5,9,14,8,5,2,9,1,0
1519396679000,784.6097106481482,8,10,12,5,10,4,5,0,0
1519396730000,784.6103009259259,12,13,3,5,5,2,13,1,0
1519396741000,784.6104282407407,12,14,6,3,3,4,3,0,1
1519396754000,784.6105787037037,3,11,4,8,4,2,11,0,0
1519396953000,784.6128819444444,7,3,8,6,3,4,6,1,0
1519396957000,784.6129282407408,12,5,8,11,8,3,8,1,1
1519396969000,784.6130671296296,5,12,4,14,4,4,14,0,0
1519396976000,784.6131481481482,6,9,8,11,11,4,11,0,1
1519397078000,784.6143287037037,2,7,8,6,2,4,6,1,0
1519397089000,784.6144560185185,5,2,3,13,3,1,5,0,0
1519397136000,784.615,4,3,7,14,14,4,14,1,1
1519397145000,784.6151041666667,5,6,13,4,5,1,5,0,1
1519397529000,784.6195486111111,14,11,3,4,11,2,11,0,1
1519397532000,784.6195833333334,6,3,7,14,14,4,14,1,1
1519397643000,784.6208680555555,4,8,7,3,8,2,8,0,1
1519397744000,784.622037037037,5,8,3,10,10,4,10,0,1
1519397756000,784.622175925926,2,9,11,8,9,2,9,0,1
1519397773000,784.6223726851852,9,13,10,6,10,3,10,1,1
1519397782000,784.6224768518518,10,4,5,6,4,3,5,0,0
1519397786000,784.6225231481482,4,7,5,8,5,3,5,0,1
1519397801000,784.6226967592593,4,3,2,14,4,4,14,0,0
1519397846000,784.6232175925926,6,2,12,5,12,4,5,0,0
1519397850000,784.6232638888889,6,3,4,10,10,4,10,0,1
1519397875000,784.6235532407408,11,5,8,6,11,4,6,1,0
1519397880000,784.6236111111111,12,6,8,14,14,4,14,1,1
1519397900000,784.6238425925926,3,11,2,6,3,1,3,0,1
1519397930000,784.6241898148148,2,10,8,7,7,2,10,1,0
1519397964000,784.6245833333334,3,9,5,4,5,4,4,0,0
1519397967000,784.6246180555555,12,8,5,14,5,3,5,1,1
1519397987000,784.624849537037,10,3,9,6,9,3,9,1,1
1519398004000,784.6250462962963,9,11,2,8,11,4,8,1,0
1519398033000,784.6253819444445,3,13,12,2,3,2,13,0,0
1519398069000,784.6257986111111,11,4,1,10,1,3,1,0,1
1519398085000,784.6259837962963,4,6,2,5,5,4,5,0,1
1519398115000,784.6263310185185,14,12,1,7,1,4,7,1,0
1519398131000,784.6265162037037,11,10,12,1,1,4,1,0,1
1519398156000,784.6268055555555,6,2,8,10,6,4,10,0,0
1519398344000,784.6289814814814,4,3,8,7,4,4,7,0,0
1519398350000,784.629050925926,9,5,6,13,9,4,13,1,0
1519398371000,784.6292939814815,13,9,5,12,9,2,9,1,1
1519398379000,784.629386574074,6,3,2,5,3,1,6,1,0
1519398397000,784.6295949074074,11,2,3,13,2,2,2,0,1
1519398399000,784.6296180555555,4,8,14,10,8,4,10,0,0
1519398421000,784.6298726851852,4,8,2,6,2,4,6,0,0
1519398500000,784.6307870370371,2,8,12,3,8,2,8,1,1
1519398534000,784.6311805555556,9,12,7,10,10,3,7,0,0
1519398542000,784.6312731481481,13,9,6,1,1,4,1,0,1
1519398548000,784.6313425925925,8,7,3,9,8,2,7,0,0
1519398572000,784.6316203703703,10,14,8,11,8,2,14,1,0
1519398651000,784.6325347222222,9,4,13,8,4,4,8,1,0
1519398655000,784.6325810185185,6,7,4,13,7,4,13,0,0
1519399256000,784.639537037037,2,4,7,11,4,4,11,0,0
1519399280000,784.6398148148148,6,12,7,9,6,4,9,1,0
1519399317000,784.6402430555555,5,8,6,9,9,2,8,0,0
1519399331000,784.6404050925926,7,3,12,2,3,2,3,0,1
1519399337000,784.640474537037,3,7,14,13,14,4,13,0,0
1519399368000,784.6408333333334,1,2,4,7,1,4,7,1,0
1519399408000,784.6412962962963,14,3,2,6,6,2,3,0,0
1519399434000,784.6415972222222,8,1,14,11,1,2,1,1,1
1519399440000,784.6416666666667,14,2,12,7,14,2,2,0,0
1519399461000,784.6419097222222,9,4,11,3,4,2,4,1,1
1519399501000,784.6423726851851,7,6,13,11,13,3,13,0,1
1519399520000,784.6425925925926,5,2,10,13,2,4,13,0,0
1519399558000,784.6430324074074,12,10,8,7,10,4,7,1,0
1519399566000,784.643125,9,3,6,5,3,3,6,1,0
1519399597000,784.6434837962963,11,14,2,3,11,2,14,1,0
1519399605000,784.6435763888888,8,10,12,6,8,1,8,0,1
1519399614000,784.6436805555555,12,8,13,2,2,2,8,0,0
1519399641000,784.6439930555556,5,13,8,11,8,4,11,0,0
1519399680000,784.6444444444444,7,9,6,13,7,2,9,0,0
1519399697000,784.6446412037037,8,5,11,3,8,4,3,0,0
1519399700000,784.644675925926,5,4,7,8,5,1,5,1,1
1519401119000,784.661099537037,6,12,14,1,1,4,1,1,1
1519401133000,784.661261574074,7,9,11,6,9,2,9,1,1
1519401146000,784.661412037037,3,1,2,8,1,2,1,0,1
1519401194000,784.6619675925926,13,8,6,14,6,1,13,0,0
1519401211000,784.6621643518519,14,10,2,11,14,2,10,1,0
1519401259000,784.6627199074074,9,2,10,6,2,2,2,0,1
1519401279000,784.6629513888889,7,6,4,14,6,4,14,1,0
1519401294000,784.663125,12,7,13,2,7,2,7,0,1
1519401313000,784.6633449074075,14,8,13,7,13,2,8,0,0
1519401321000,784.6634375,6,4,10,8,4,4,8,1,0
1519401377000,784.6640856481481,14,13,5,1,1,4,1,0,1
1519401395000,784.6642939814815,13,3,8,5,13,1,13,0,1
1519401424000,784.6646296296296,4,6,11,8,4,4,8,1,0
1519401477000,784.6652430555556,1,3,4,11,1,2,3,1,0
1519401494000,784.6654398148148,10,3,2,4,10,4,4,0,0
1519401509000,784.6656134259259,10,9,8,11,9,4,11,1,0
1519401523000,784.665775462963,5,13,8,6,5,4,6,1,0
1519401531000,784.6658680555555,13,4,9,14,9,2,4,0,0
1519401617000,784.666863425926,8,10,14,4,4,3,14,0,0
1519401635000,784.6670717592592,6,10,8,2,2,4,2,1,1
1519401643000,784.6671643518519,7,10,4,3,7,3,4,0,0
1519401685000,784.6676504629629,6,12,2,5,5,4,5,1,1
1519401760000,784.6685185185186,9,5,12,2,9,3,12,0,0
1519401764000,784.6685648148148,5,2,10,9,5,1,5,0,1
1519401766000,784.668587962963,1,11,13,9,1,1,1,0,1
1519401774000,784.6686805555555,12,7,3,14,12,4,14,0,0
1519401777000,784.6687152777778,7,11,10,3,10,4,3,1,0
1519401862000,784.6696990740741,9,6,13,3,13,3,13,0,1
1519401868000,784.6697685185185,12,6,9,3,3,3,9,1,0
1519402744000,784.6799074074074,13,14,12,5,12,4,5,0,0
1519402762000,784.6801157407407,9,5,8,12,5,2,5,0,1
1519402770000,784.6802083333333,12,14,9,2,2,4,2,1,1
1519402776000,784.6802777777777,6,7,8,11,8,2,7,1,0
1519402809000,784.6806597222222,10,9,3,12,10,1,10,0,1
1519402815000,784.6807291666667,9,6,5,2,2,2,6,0,0
1519402830000,784.6809027777778,2,5,13,4,5,2,5,0,1
1519402863000,784.6812847222222,7,13,12,11,7,2,13,0,0
1519402922000,784.6819675925926,14,5,11,3,3,1,14,0,0
1519402930000,784.6820601851852,6,1,2,11,1,2,1,1,1
1519402952000,784.6823148148148,7,8,6,5,6,4,5,1,0
1519403311000,784.6864699074074,3,4,11,12,3,2,4,0,0
1519403315000,784.6865162037037,2,5,6,1,1,4,1,0,1
1519403318000,784.6865509259259,10,11,8,7,8,4,7,1,0
1519403328000,784.6866666666666,6,5,1,10,1,3,1,0,1
