timestamp,days_from_20160101,stimchoice1,stimchoice2,stimchosen,correctidx,correct_stim,is_choice_color,chose_correct
1453730517507,24.584693368055557,11,10,11,1,11,0,1
1453730864480,24.588709259259257,6,12,6,1,6,1,1
1453730883979,24.588934942129626,12,6,6,2,6,1,1
1453731008000,24.59037037037037,6,12,12,1,6,1,0
1453731038387,24.59072207175926,14,13,13,2,13,1,1
1453731087596,24.59129162037037,12,14,14,1,12,0,0
1453731208930,24.592695949074077,5,6,5,2,6,0,0
1453731283231,24.593555914351853,10,4,10,2,4,1,0
1453731296028,24.593704027777775,13,14,13,2,14,1,0
1453731298733,24.593735335648148,7,1,7,2,1,1,0
1453731485089,24.5958922337963,4,13,13,1,4,0,0
1453731563435,24.596799016203704,9,3,9,1,9,1,1
1453731683968,24.598194074074073,3,11,11,1,3,0,0
1453731842523,24.60002920138889,10,7,7,2,7,0,1
1453732094060,24.60294050925926,13,4,13,2,4,0,0
1453732229398,24.6045069212963,14,13,13,2,13,1,1
1453732231918,24.604536087962963,13,14,13,2,14,1,0
1453732779213,24.610870520833334,3,14,3,1,3,0,1
1453732812699,24.61125809027778,14,13,14,1,14,1,1
1453732814915,24.611283738425925,12,6,12,1,12,1,1
1453732900042,24.612269004629628,9,2,2,1,9,0,0
1453733275918,24.616619421296296,4,10,10,2,10,1,1
1453733808532,24.622783935185186,5,6,6,2,6,0,1
1453733824195,24.622965219907407,6,12,6,1,6,1,1
1453733905968,24.623911666666665,14,10,10,1,14,0,0
1453734516456,24.630977499999997,3,9,9,2,9,1,1
1453812968246,25.5389843287037,4,10,10,2,10,1,1
1453812976509,25.53907996527778,13,14,14,1,13,1,0
1453812988578,25.53921965277778,9,3,3,2,3,1,1
1453813013856,25.539512222222225,3,9,3,1,3,1,1
1453813073018,25.540196967592596,8,2,2,2,2,1,1
1453813122304,25.540767407407408,1,7,1,1,1,1,1
1453813205558,25.541730995370372,4,10,4,2,10,1,0
1453813232173,25.542039039351852,13,14,13,2,14,1,0
1453813303171,25.542860775462962,8,2,8,1,8,1,1
1453813435214,25.54438905092593,8,2,2,1,8,1,0
1453814227297,25.55355667824074,12,6,6,2,6,1,1
1453814231645,25.553607002314816,7,1,7,2,1,1,0
1453814248792,25.553805462962963,8,12,8,1,8,0,1
1453814287899,25.55425809027778,11,7,11,2,7,0,0
1453814345698,25.554927060185182,2,10,10,1,2,0,0
1453814507326,25.556797754629628,2,8,8,1,2,1,0
1453814509474,25.55682261574074,11,5,11,1,11,1,1
1453814561796,25.557428194444444,1,7,7,2,7,1,1
1453814572144,25.55754796296296,12,6,6,1,12,1,0
1453814603855,25.557914988425924,9,1,1,1,9,0,0
1453816468485,25.579496354166665,4,10,4,1,4,1,1
1453816593155,25.58093929398148,11,5,5,1,11,1,0
1453816712786,25.582323912037037,12,6,12,1,12,1,1
1453816722786,25.582439652777776,8,2,2,2,2,1,1
1453816726019,25.582477071759257,9,3,9,1,9,1,1
1453816761695,25.582889988425922,4,10,4,2,10,1,0
1453816883469,25.584299409722224,3,9,9,2,9,1,1
1453816888060,25.584352546296298,10,4,10,1,10,1,1
1453816926096,25.58479277777778,14,13,14,1,14,1,1
1453817007970,25.58574039351852,10,4,10,2,4,1,0
1453817045600,25.58617592592593,8,2,2,2,2,1,1
1453817082810,25.58660659722222,7,1,1,1,7,1,0
1453817109265,25.586912789351853,11,1,1,2,1,0,1
1453817373138,25.589966875,13,14,13,1,13,1,1
1453817416358,25.59046710648148,3,4,3,2,4,0,0
1453817437945,25.590716956018518,14,9,14,2,9,0,0
1453817475857,25.591155752314812,14,13,14,2,13,1,0
1453817517136,25.591633518518517,2,8,8,1,2,1,0
1453817525192,25.591726759259256,11,8,11,2,8,0,0
1453817935863,25.596479895833333,1,7,1,1,1,1,1
1453817951325,25.59665885416667,1,7,7,2,7,1,1
1453818001811,25.597243182870372,4,10,10,1,4,1,0
1453818159719,25.59907082175926,14,13,13,1,14,1,0
1453818189909,25.599420243055555,1,7,1,1,1,1,1
1453818438171,25.602293645833335,7,1,7,1,7,1,1
1453818593640,25.604093055555555,5,8,8,1,5,0,0
1453819073871,25.60965128472222,10,9,9,1,10,0,0
1453819102114,25.609978171296298,12,6,12,1,12,1,1
1453819105119,25.61001295138889,14,11,14,1,14,0,1
1453819121202,25.61019909722222,11,5,11,1,11,1,1
1453819184829,25.610935520833333,12,6,6,1,12,1,0
1453819248522,25.61167270833333,2,8,2,1,2,1,1
1453819363601,25.613004641203702,5,11,5,2,11,1,0
1453819903406,25.61925238425926,8,2,8,1,8,1,1
1453819965979,25.619976608796293,13,2,13,2,2,0,0
1453820324942,25.624131273148144,12,6,6,1,12,1,0
1453820622048,25.62757,8,2,8,2,2,1,0
1453820669376,25.62811777777778,6,12,12,1,6,1,0
1453820851218,25.630222430555555,2,8,8,1,2,1,0
1453820874606,25.630493125,2,8,8,1,2,1,0
1453820903230,25.630824421296296,4,11,11,1,4,0,0
1453820930943,25.63114517361111,11,14,14,2,14,0,1
1453820959497,25.631475659722224,12,6,6,1,12,1,0
1453820995300,25.631890046296295,9,3,3,1,9,1,0
1453821000167,25.631946377314815,8,2,8,1,8,1,1
1453821033544,25.632332685185187,9,7,7,1,9,0,0
1453821035857,25.632359456018516,6,12,6,1,6,1,1
1453821072856,25.632787685185185,6,12,12,2,12,1,1
1453821222862,25.634523865740743,8,6,6,2,6,0,1
1453822047554,25.64406891203704,9,2,2,1,9,0,0
1453822057783,25.644187303240738,5,11,5,1,5,1,1
1453822086338,25.644517800925925,7,1,1,2,1,1,1
1453822137714,25.645112430555557,12,13,13,1,12,0,0
1453822149823,25.645252581018518,6,7,7,1,6,0,0
1453822535103,25.649711840277778,3,7,7,2,7,0,1
1453822553698,25.649927060185185,9,3,3,2,3,1,1
1453823034190,25.655488310185184,2,1,2,2,1,0,0
1453823093986,25.656180393518518,3,9,3,1,3,1,1
1453823124437,25.656532835648147,5,12,5,1,5,0,1
1453823337648,25.659000555555558,13,14,14,2,14,1,1
1453823339617,25.659023344907407,6,12,6,2,12,1,0
1453823677732,25.66293671296296,9,3,9,2,3,1,0
1453824653633,25.674231863425923,6,11,11,2,11,0,1
1453824661518,25.674323125,12,1,12,2,1,0,0
1453824678615,25.674521006944445,3,14,14,2,14,0,1
1453824718458,25.67498215277778,5,11,5,1,5,1,1
1453825544537,25.684543252314814,6,10,10,2,10,0,1
1453825756385,25.686995196759256,12,6,12,2,6,1,0
1453825843207,25.68800008101852,6,11,11,2,11,0,1
1453825996323,25.689772256944444,3,9,3,2,9,1,0
1453826006067,25.68988503472222,13,14,14,2,14,1,1
1454928066431,38.445213321759255,11,5,5,2,5,1,1
1454928337693,38.44835292824074,14,5,5,1,14,0,0
1454928364090,38.448658449074074,3,9,3,1,3,1,1
1454928366691,38.44868855324074,5,2,2,1,5,0,0
1454928374620,38.44878032407408,12,6,6,1,12,1,0
1454928413450,38.449229745370374,8,2,8,1,8,1,1
1454928418394,38.44928696759259,7,4,4,1,7,0,0
1454928433492,38.449461712962965,12,6,6,1,12,1,0
1454928478753,38.44998556712963,1,7,1,1,1,1,1
1454928489476,38.45010967592592,4,10,10,1,4,1,0
1454928511896,38.45036916666667,11,5,5,1,11,1,0
1454928520100,38.45046412037037,8,2,2,1,8,1,0
1454928554269,38.450859594907406,9,3,3,2,3,1,1
1454928652797,38.45199996527778,8,2,8,1,8,1,1
1454928666657,38.452160381944445,1,7,1,1,1,1,1
1454928719298,38.452769652777775,5,11,11,1,5,1,0
1454928725887,38.452845914351855,6,12,6,1,6,1,1
1454928735197,38.452953668981486,1,7,1,1,1,1,1
1454928753916,38.45317032407408,10,4,10,1,10,1,1
1454928789573,38.453583020833335,8,2,2,1,8,1,0
1454928834261,38.45410024305556,6,5,6,1,6,0,1
1454928867919,38.45448980324074,6,12,6,1,6,1,1
1454928891672,38.45476472222222,12,6,12,1,12,1,1
1454928906770,38.454939467592595,1,7,1,1,1,1,1
1454928943545,38.45536510416667,4,10,4,1,4,1,1
1454929010443,38.45613938657407,1,7,7,2,7,1,1
1454929018086,38.45622784722222,4,10,4,1,4,1,1
1454929031244,38.45638013888889,10,4,4,1,10,1,0
1454929080807,38.456953784722224,11,5,11,1,11,1,1
1454929405663,38.46071369212963,6,12,12,1,6,1,0
1454929724785,38.4644072337963,5,11,11,1,5,1,0
1454930021938,38.467846504629634,13,14,13,1,13,1,1
1454930050695,38.46817934027778,7,13,7,1,7,0,1
1454931080571,38.48009920138889,5,11,5,1,5,1,1
1454931142951,38.480821192129625,2,3,2,1,2,0,1
1454931157642,38.48099122685185,4,9,4,2,9,0,0
1454931180642,38.48125743055556,1,4,4,1,1,0,0
1454931296755,38.482601331018515,6,13,6,1,6,0,1
1454931299050,38.48262789351852,1,9,1,1,1,0,1
1454931301248,38.48265333333333,1,7,1,1,1,1,1
1454931413027,38.48394707175925,10,4,10,1,10,1,1
1454931552165,38.48555746527778,4,10,4,1,4,1,1
1454931562157,38.485673113425925,2,8,8,1,2,1,0
1454931655258,38.48675067129629,11,5,11,1,11,1,1
1454931727341,38.487584965277776,10,4,10,1,10,1,1
1454931762460,38.48799143518519,3,9,3,1,3,1,1
1454931845115,38.48894809027778,11,5,11,1,11,1,1
1454935184927,38.52760332175926,13,14,13,2,14,1,0
1454935204181,38.52782616898148,14,9,14,1,14,0,1
1454940464317,38.588707372685185,12,6,6,1,12,1,0
1454940503668,38.58916282407407,6,12,12,2,12,1,1
1454940522550,38.58938136574074,2,8,8,1,2,1,0
1454940530642,38.58947502314815,8,14,14,1,8,0,0
1454940572367,38.58995795138889,13,14,13,1,13,1,1
1454940796684,38.59255421296296,7,1,1,1,7,1,0
1454940830217,38.59294232638889,11,5,11,1,11,1,1
1454940893297,38.59367241898148,9,3,9,1,9,1,1
1454940971201,38.59457408564815,14,13,14,1,14,1,1
1454940987722,38.59476530092593,1,7,1,1,1,1,1
1454941233752,38.59761287037037,11,5,11,1,11,1,1
1454941265337,38.5979784375,10,12,10,2,12,0,0
1454941277115,38.59811475694445,13,14,13,1,13,1,1
1454941397905,38.59951278935185,12,13,13,1,12,0,0
1454941451853,38.6001371875,6,12,6,1,6,1,1
1454941459219,38.60022244212963,4,10,10,1,4,1,0
1454941481993,38.60048603009259,4,8,8,1,4,0,0
1454941486992,38.60054388888889,9,6,9,1,9,0,1
1454941559447,38.60138248842593,6,12,12,2,12,1,1
1454941576467,38.601579479166666,14,6,6,2,6,0,1
1454942132042,38.60800974537037,4,10,10,1,4,1,0
1454942134813,38.60804181712963,11,5,11,1,11,1,1
1454944427596,38.63457865740741,5,11,5,1,5,1,1
1454944443395,38.6347615162037,1,9,1,1,1,0,1
1454944455596,38.63490273148148,6,12,12,1,6,1,0
1454944460605,38.63496070601852,3,9,9,1,3,1,0
1454944474770,38.635124652777776,8,5,8,1,8,0,1
1454944508875,38.635519386574074,13,14,14,2,14,1,1
1454944530491,38.635769571759255,12,6,6,1,12,1,0
1454944653132,38.63718902777778,9,12,9,1,9,0,1
1454944660365,38.63727274305556,3,9,9,1,3,1,0
1454945601997,38.64817126157407,6,12,12,1,6,1,0
1454946112082,38.654075023148145,12,5,12,1,12,0,1
1454946119732,38.654163564814816,11,2,11,1,11,0,1
1454946128571,38.65426586805555,12,6,6,1,12,1,0
1454946180549,38.65486746527778,2,8,2,1,2,1,1
1454946194949,38.65503413194445,14,7,7,1,14,0,0
1454946279300,38.65601041666667,10,4,10,1,10,1,1
1454946284114,38.65606613425926,6,12,6,1,6,1,1
1454946880872,38.662973055555554,7,1,1,1,7,1,0
1454946905813,38.66326172453704,9,3,9,1,9,1,1
1454946919213,38.66341681712963,7,1,1,1,7,1,0
1454946925511,38.66348971064815,4,10,4,2,10,1,0
1454946928818,38.66352798611111,8,2,2,1,8,1,0
1454946940292,38.66366078703704,1,7,7,1,1,1,0
1454946945899,38.66372568287037,4,14,14,1,4,0,0
1454946952725,38.663804687500004,4,13,4,1,4,0,1
1455014877369,39.44996954861111,3,8,3,1,3,0,1
1455014937810,39.450669097222224,11,6,6,1,11,0,0
1455015020240,39.45162314814815,6,10,6,1,6,0,1
1455015079115,39.452304571759264,13,14,13,1,13,1,1
1455015113940,39.45270763888889,1,7,1,1,1,1,1
1455015126976,39.45285851851852,6,12,6,1,6,1,1
1455015206508,39.45377902777778,5,11,5,1,5,1,1
1455015275627,39.4545790162037,2,8,8,1,2,1,0
1455015278572,39.454613101851855,13,7,7,1,13,0,0
1455015392154,39.455927708333334,2,8,8,1,2,1,0
1455015433538,39.45640668981482,3,9,3,1,3,1,1
1455015452260,39.456623379629626,13,14,14,1,13,1,0
1455015461934,39.45673534722222,2,8,2,1,2,1,1
1455015471465,39.45684565972222,2,11,11,2,11,0,1
1455015545112,39.45769805555556,3,9,9,1,3,1,0
1455015613123,39.45848521990741,5,11,11,1,5,1,0
1455018173536,39.48811962962963,7,1,1,1,7,1,0
1455018350983,39.49017341435185,7,2,2,1,7,0,0
1455018376397,39.49046755787037,3,9,3,2,9,1,0
1455018394307,39.49067484953704,8,2,2,1,8,1,0
1455018397245,39.49070885416667,6,13,13,2,13,0,1
1455018464810,39.491490856481484,3,9,9,1,3,1,0
1455018468976,39.49153907407407,9,3,9,2,3,1,0
1455018687352,39.494066574074076,4,10,4,1,4,1,1
1455018689527,39.49409174768518,9,5,5,1,9,0,0
1455018763476,39.49494763888889,2,4,4,1,2,0,0
1455018819858,39.495600208333336,6,12,12,1,6,1,0
1455025096938,39.56825159722222,14,13,14,1,14,1,1
1455025116282,39.56847548611111,8,13,8,2,13,0,0
1455025130123,39.56863568287037,6,12,12,1,6,1,0
1455025140920,39.56876064814815,4,3,3,1,4,0,0
1455025147410,39.56883576388889,12,6,12,1,12,1,1
1455025164273,39.5690309375,10,4,4,1,10,1,0
1455025242190,39.569932754629626,9,3,3,1,9,1,0
1455025279326,39.57036256944444,14,13,14,1,14,1,1
1455025342188,39.57109013888889,1,7,1,2,7,1,0
1455025623225,39.574342881944446,10,4,4,1,10,1,0
1455025726683,39.5755403125,11,5,5,1,11,1,0
1455025739181,39.57568496527777,8,1,8,2,1,0,0
1455025825649,39.576685752314816,4,10,10,1,4,1,0
1455026025483,39.57899864583333,2,8,2,1,2,1,1
1455026437823,39.58377109953704,2,8,2,2,8,1,0
1455027526064,39.59636648148148,2,5,2,2,5,0,0
1455027555117,39.59670274305556,8,2,2,1,8,1,0
1455027566360,39.59683287037037,12,6,12,1,12,1,1
1455027650851,39.59781077546296,8,2,8,1,8,1,1
1455027709229,39.59848644675926,3,9,9,1,3,1,0
1455028030316,39.60220273148148,10,4,10,2,4,1,0
1455028040528,39.60232092592592,1,7,1,1,1,1,1
1455028055282,39.60249168981482,8,12,8,1,8,0,1
1455028141329,39.603487604166666,7,1,7,1,7,1,1
1455030812319,39.63440184027778,5,11,11,1,5,1,0
1455030845092,39.63478115740741,5,11,5,2,11,1,0
1455030882230,39.63521099537037,1,7,1,1,1,1,1
1455030903523,39.63545744212963,4,3,3,2,3,0,1
1455030935746,39.63583039351852,12,6,12,1,12,1,1
1455030954527,39.6360477662037,10,4,10,2,4,1,0
1455031002403,39.63660188657407,8,14,14,1,8,0,0
1455031039180,39.637027546296295,12,10,12,2,10,0,0
1455031073337,39.637422881944445,6,7,7,1,6,0,0
1455031080521,39.637506030092595,5,11,5,1,5,1,1
1455031186312,39.63873046296296,5,11,5,1,5,1,1
1455031203986,39.63893502314815,12,13,13,2,13,0,1
1455031210783,39.63901369212963,5,2,2,1,5,0,0
1455031311972,39.64018486111111,12,6,12,1,12,1,1
1455031316017,39.64023167824074,6,12,6,1,6,1,1
1455031318400,39.64025925925926,7,1,7,1,7,1,1
1455031391420,39.641104398148144,8,9,9,1,8,0,0
1455031394984,39.641145648148154,3,9,9,1,3,1,0
1455031477505,39.64210075231481,5,13,13,1,5,0,0
1455032332061,39.65199144675926,11,12,11,1,11,0,1
1455032344625,39.65213686342592,4,13,4,2,13,0,0
1455032356815,39.65227795138889,4,10,4,2,10,1,0
1455032393011,39.65269688657407,10,14,10,1,10,0,1
1455032450820,39.65336597222222,3,9,9,1,3,1,0
1455032503242,39.653972708333335,12,1,1,2,1,0,1
1455034125084,39.672744027777775,8,3,3,1,8,0,0
1455034142953,39.67295084490741,5,11,5,2,11,1,0
1455034171785,39.673284548611115,4,10,10,1,4,1,0
