timestamp,days_from_20160101,stimchoice1,stimchoice2,stimchoice3,stimchoice4,stimchosen,correctidx,correct_stim,is_choice_color,chose_correct
1507723513000,649.5036226851852,10,2,13,11,2,4,11,0,0
1507723626000,649.5049305555556,7,5,6,4,5,4,4,0,0
1507724380000,649.5136574074074,7,6,4,11,7,4,11,0,0
1507724522000,649.5153009259259,3,12,9,4,12,4,4,0,0
1507724722000,649.5176157407408,8,14,10,3,8,4,3,0,0
1507724917000,649.5198726851852,4,5,13,2,4,4,2,1,0
1507724996000,649.520787037037,13,10,5,11,11,4,11,0,1
1507725034000,649.5212268518519,14,5,12,10,5,4,10,0,0
1507725269000,649.5239467592593,7,4,1,13,1,4,13,0,0
1507725335000,649.5247106481481,3,12,10,13,3,4,13,0,0
1507725339000,649.5247569444444,11,4,9,13,9,4,13,0,0
1507725781000,649.5298726851852,7,3,12,2,2,4,2,1,1
1507725828000,649.5304166666666,10,3,6,4,10,4,4,1,0
1507725856000,649.5307407407407,13,14,7,8,8,4,8,0,1
1507726364000,649.5366203703703,13,3,7,12,13,4,12,0,0
1507726768000,649.5412962962963,8,4,5,14,4,4,14,1,0
1507727166000,649.5459027777778,8,3,13,5,3,4,5,0,0
1507727169000,649.5459375,10,13,2,9,9,4,9,0,1
1507727903000,649.5544328703704,13,2,11,5,11,4,5,0,0
1507727960000,649.5550925925926,11,1,2,9,1,4,9,0,0
1507728195000,649.5578125,5,12,2,7,12,4,7,0,0
1507728215000,649.5580439814814,2,12,5,11,2,4,11,1,0
1507730176000,649.5807407407408,4,2,8,1,1,4,1,0,1
1507730832000,649.5883333333334,6,11,2,8,11,4,8,1,0
1507730869000,649.588761574074,11,10,7,4,4,4,4,0,1
1507730873000,649.5888078703704,5,9,12,6,6,4,6,0,1
1507730936000,649.5895370370371,11,7,4,10,4,4,10,0,0
1507731043000,649.5907754629629,14,12,4,3,3,4,3,1,1
1507732313000,649.605474537037,5,3,13,6,5,4,6,0,0
1507732370000,649.6061342592593,5,12,10,7,7,4,7,1,1
1507737067000,649.6604976851852,13,7,14,12,12,4,12,1,1
1507737127000,649.6611921296296,4,6,11,8,6,4,8,1,0
1507737130000,649.6612268518519,3,12,5,2,3,4,2,1,0
1507737136000,649.6612962962963,2,11,8,6,11,4,6,1,0
1507737206000,649.6621064814815,7,6,13,5,7,4,5,1,0
1507737231000,649.6623958333333,13,10,7,6,13,4,6,1,0
1507737282000,649.6629861111111,8,14,12,13,8,4,13,1,0
1507737327000,649.6635069444444,10,9,4,14,14,4,14,1,1
1507737377000,649.6640856481481,8,12,11,5,12,4,5,1,0
1507737490000,649.6653935185185,5,8,13,9,8,4,9,1,0
