timestamp,days_from_20160101,stimchoice1,stimchoice2,stimchoice3,stimchoice4,stimchosen,correctidx,correct_stim,is_choice_color,chose_correct
1477484813000,299.5186689814815,10,9,11,2,2,4,2,0,1
1477484847000,299.5190625,11,4,7,10,10,2,4,1,0
1477484893000,299.5195949074074,1,7,6,8,1,1,1,1,1
1477484896000,299.5196296296296,6,11,1,7,1,1,6,1,0
1477484900000,299.5196759259259,13,6,12,2,13,1,13,1,1
1477484902000,299.5196990740741,4,10,5,11,5,3,5,0,1
1477484905000,299.5197337962963,9,14,13,8,8,1,9,1,0
1477484918000,299.51988425925924,2,7,14,10,14,4,10,1,0
1477484933000,299.52005787037035,6,12,2,8,8,1,6,0,0
1477484959000,299.5203587962963,8,10,7,2,2,4,2,1,1
1477485027000,299.5211458333333,10,11,13,3,11,4,3,0,0
1477485049000,299.52140046296296,3,14,6,11,3,1,3,1,1
1477485051000,299.5214236111111,5,14,11,9,14,1,5,0,0
1477485112000,299.5221296296296,13,3,4,2,13,1,13,0,1
1477485120000,299.52222222222224,7,8,13,11,8,2,8,1,1
1477485124000,299.5222685185185,8,12,5,3,3,1,8,0,0
1477485135000,299.52239583333335,9,12,11,8,9,1,9,0,1
1477485141000,299.52246527777777,13,10,9,5,13,1,13,1,1
1477485145000,299.5225115740741,9,5,14,4,14,1,9,0,0
1477485561000,299.52732638888887,12,10,13,14,13,3,13,1,1
1477485563000,299.527349537037,4,10,11,6,6,4,6,0,1
1477485577000,299.5275115740741,14,12,1,11,1,4,11,0,0
1477485657000,299.5284375,7,11,10,8,7,4,8,0,0
1477485660000,299.5284722222222,8,14,13,6,14,4,6,1,0
1477485763000,299.52966435185186,6,12,5,3,12,4,3,0,0
1477485767000,299.5297106481481,9,14,10,3,14,2,14,1,1
1477485780000,299.52986111111113,13,9,11,14,9,2,9,0,1
1477485847000,299.5306365740741,11,5,13,10,11,2,5,0,0
1477485897000,299.5312152777778,7,9,11,14,7,4,14,1,0
1477485900000,299.53125,3,10,11,8,10,2,10,0,1
1477485905000,299.53130787037037,4,14,2,7,7,1,4,0,0
1477485910000,299.53136574074074,8,12,4,14,8,1,8,1,1
1477485913000,299.53140046296295,12,14,10,5,10,3,10,0,1
1477485919000,299.5314699074074,3,9,10,5,5,2,9,0,0
1477486025000,299.53269675925924,7,8,9,3,7,4,3,0,0
1477486036000,299.5328240740741,13,8,10,14,8,2,8,0,1
1477486038000,299.53284722222224,11,8,5,10,8,2,8,1,1
1477486044000,299.53291666666667,10,12,1,9,1,1,10,0,0
1477486048000,299.532962962963,9,10,6,11,11,1,9,0,0
1477486081000,299.5333449074074,8,7,6,12,6,3,6,1,1
1477486091000,299.53346064814815,2,7,12,8,2,1,2,0,1
1477486186000,299.53456018518517,3,5,9,8,9,3,9,0,1
1477488742000,299.5641435185185,4,2,6,10,10,4,10,0,1
1477488745000,299.5641782407407,3,4,2,5,3,1,3,1,1
1477488747000,299.5642013888889,1,10,2,5,1,1,1,1,1
1477488749000,299.56422453703703,14,3,5,6,5,3,5,1,1
1477488750000,299.5642361111111,13,7,9,6,13,4,6,1,0
1477488755000,299.56429398148146,9,2,8,12,8,1,9,1,0
1477488766000,299.5644212962963,9,6,10,5,6,2,6,0,1
1477488770000,299.5644675925926,4,13,8,12,4,1,4,1,1
1477488788000,299.56467592592594,13,2,4,9,2,2,2,0,1
1477489033000,299.56751157407405,8,4,13,14,13,3,13,0,1
1477489051000,299.5677199074074,4,14,10,6,10,3,10,0,1
1477489058000,299.56780092592595,2,10,5,13,13,3,5,1,0
1477489078000,299.56803240740743,1,9,14,4,1,1,1,0,1
1477489403000,299.5717939814815,7,11,10,8,11,2,11,1,1
1477489408000,299.5718518518519,11,10,7,14,11,3,7,0,0
1477489411000,299.5718865740741,5,10,9,1,1,2,10,0,0
1477489415000,299.57193287037035,2,9,12,7,12,3,12,0,1
1477489457000,299.57241898148146,12,4,11,6,11,1,12,1,0
1477489470000,299.57256944444447,14,8,7,13,8,2,8,0,1
1477489479000,299.5726736111111,10,12,2,13,13,2,12,0,0
1477489487000,299.5727662037037,11,5,10,8,10,4,8,1,0
1477489491000,299.5728125,5,7,3,1,1,2,7,1,0
1477489503000,299.5729513888889,8,5,3,9,9,4,9,1,1
1477489505000,299.57297453703706,7,6,9,14,6,2,6,1,1
1477489511000,299.5730439814815,11,4,5,7,7,3,5,0,0
1477489522000,299.5731712962963,13,10,7,5,7,3,7,0,1
1477489527000,299.5732291666667,3,11,13,4,4,3,13,0,0
1477489703000,299.5752662037037,4,11,13,6,4,1,4,0,1
1477489707000,299.5753125,12,8,2,5,5,3,2,1,0
1477489958000,299.5782175925926,6,10,13,7,13,3,13,0,1
1477490775000,299.5876736111111,12,14,11,9,12,1,12,1,1
1477490790000,299.5878472222222,11,4,12,9,9,1,11,1,0
1477490831000,299.58832175925926,12,6,7,4,7,2,6,1,0
1477490859000,299.5886458333333,13,7,10,9,9,4,9,0,1
1477490866000,299.58872685185185,2,9,12,11,2,4,11,1,0
1477490871000,299.5887847222222,3,4,8,11,11,1,3,1,0
1477491325000,299.59403935185185,14,5,13,10,14,2,5,0,0
1477491329000,299.59408564814817,2,12,4,13,13,2,12,1,0
1477491364000,299.59449074074075,8,10,13,3,3,2,10,1,0
1477491370000,299.5945601851852,7,10,6,9,6,3,6,0,1
1477491380000,299.5946759259259,13,6,3,8,3,3,3,0,1
1477491383000,299.5947106481481,2,1,3,8,1,2,1,0,1
1477491408000,299.595,4,12,8,13,8,2,12,0,0
1477491514000,299.59622685185184,2,10,12,6,6,4,6,0,1
1477491539000,299.5965162037037,8,10,13,5,10,2,10,1,1
1477491611000,299.597349537037,12,6,4,8,4,2,6,1,0
1477491616000,299.5974074074074,12,6,3,9,12,1,12,1,1
1477491632000,299.5975925925926,7,9,8,11,8,3,8,0,1
1477491774000,299.5992361111111,9,2,12,13,13,4,13,1,1
1477491777000,299.5992708333333,14,11,13,2,11,3,13,1,0
1477491890000,299.6005787037037,3,7,9,5,3,1,3,0,1
1477492128000,299.60333333333335,13,9,2,7,7,1,13,0,0
1477492135000,299.6034143518518,7,5,12,2,12,3,12,1,1
1477492138000,299.6034490740741,14,6,5,4,14,4,4,0,0
1477492281000,299.60510416666665,2,4,13,12,4,1,2,1,0
1477492286000,299.605162037037,4,13,14,11,4,4,11,1,0
1477492304000,299.6053703703704,10,5,7,14,14,4,14,0,1
1477492309000,299.60542824074076,12,14,13,8,14,2,14,0,1
1477492314000,299.60548611111113,4,5,2,3,4,1,4,0,1
1477492375000,299.6061921296296,2,14,9,10,10,2,14,1,0
1477492407000,299.6065625,13,6,8,12,12,4,12,0,1
1477492410000,299.6065972222222,10,7,6,2,7,2,7,0,1
1477492413000,299.6066319444444,7,3,9,5,9,4,5,1,0
1477492417000,299.60667824074073,11,14,3,6,14,2,14,0,1
