timestamp,days_from_20160101,stimchoice1,stimchoice2,stimchoice3,stimchoice4,stimchosen,correctidx,correct_stim,is_choice_color,chose_correct
1478532902000,311.6493287037037,5,2,10,3,2,2,2,0,1
1478533161000,311.65232638888887,3,13,12,10,13,4,10,0,0
1478533172000,311.6524537037037,3,9,14,4,3,1,3,0,1
1478533191000,311.6526736111111,5,11,12,13,11,2,11,0,1
1478533196000,311.65273148148145,7,12,2,4,4,3,2,1,0
1478533382000,311.65488425925923,9,7,3,13,7,2,7,1,1
1478533474000,311.6559490740741,3,2,4,9,9,3,4,0,0
1478533481000,311.6560300925926,1,7,4,8,1,1,1,0,1
1478533549000,311.65681712962964,5,1,7,12,1,2,1,1,1
1478533558000,311.6569212962963,14,3,8,6,8,3,8,0,1
1478533566000,311.6570138888889,11,7,6,5,11,1,11,1,1
1478533571000,311.6570717592593,3,2,8,10,3,1,3,1,1
1478534434000,311.66706018518516,9,11,5,2,5,2,11,0,0
1478534441000,311.6671412037037,8,5,12,11,5,2,5,1,1
1478534453000,311.6672800925926,13,14,11,3,13,2,14,1,0
1478534463000,311.66739583333333,8,2,4,3,8,4,3,0,0
1478534503000,311.6678587962963,3,14,2,9,2,1,3,1,0
1478534515000,311.6679976851852,12,10,5,11,10,2,10,0,1
1478534518000,311.6680324074074,8,4,11,5,8,1,8,0,1
1478534716000,311.6703240740741,3,9,11,6,6,4,6,0,1
1478535047000,311.67415509259257,3,4,14,2,14,1,3,0,0
1478535070000,311.6744212962963,4,13,9,11,13,2,13,1,1
1478536110000,311.68645833333335,10,11,12,5,12,4,5,0,0
1478536118000,311.6865509259259,9,8,11,12,11,3,11,0,1
1478536129000,311.6866782407407,6,4,7,9,9,1,6,1,0
1478536308000,311.68875,5,3,7,8,8,4,8,1,1
1478536319000,311.6888773148148,11,13,12,2,11,2,13,0,0
1478536345000,311.6891782407407,4,5,10,3,5,2,5,0,1
1478536352000,311.68925925925925,8,10,13,4,10,2,10,1,1
1478536354000,311.6892824074074,10,3,12,2,2,3,12,1,0
1478536450000,311.69039351851853,10,11,9,1,1,4,1,0,1
1478536531000,311.6913310185185,10,7,6,13,13,1,10,1,0
1478536534000,311.69136574074076,11,3,13,9,9,2,3,1,0
1478536537000,311.691400462963,12,9,4,5,5,3,4,1,0
1478536549000,311.6915393518519,11,6,8,10,10,3,8,1,0
1478536552000,311.6915740740741,13,2,11,4,4,2,2,0,0
1478536564000,311.691712962963,5,6,12,3,5,2,6,1,0
1478536926000,311.6959027777778,14,10,1,12,1,3,1,1,1
1478536931000,311.6959606481482,9,3,5,7,5,4,7,0,0
1478537067000,311.6975347222222,3,14,11,7,7,1,3,1,0
1478537072000,311.69759259259257,14,6,5,11,14,4,11,0,0
1478537122000,311.6981712962963,9,10,2,12,9,2,10,1,0
1478537137000,311.69834490740743,12,8,7,13,13,4,13,1,1
1478537140000,311.69837962962964,14,4,8,11,11,4,11,0,1
1478537198000,311.6990509259259,8,11,5,12,8,4,12,1,0
1478537202000,311.69909722222224,13,5,12,6,13,2,5,0,0
1478537209000,311.69917824074076,3,6,13,2,13,3,13,0,1
1478537220000,311.69930555555555,8,5,4,2,8,3,4,0,0
1478537264000,311.69981481481483,5,13,12,4,13,2,13,0,1
1478537273000,311.69991898148146,3,5,1,7,1,3,1,1,1
1478537276000,311.6999537037037,14,3,2,8,2,2,3,1,0
1478537295000,311.7001736111111,7,8,11,4,11,2,8,0,0
1478537316000,311.7004166666667,6,7,4,1,1,4,1,1,1
1478537320000,311.70046296296294,5,14,4,9,5,4,9,0,0
1478537344000,311.70074074074074,2,6,14,1,1,4,1,1,1
1478537350000,311.70081018518516,3,7,2,6,2,3,2,0,1
1478538960000,311.71944444444443,7,6,14,2,7,4,2,0,0
1478538980000,311.7196759259259,5,6,4,8,4,3,4,0,1
1478539034000,311.7203009259259,7,12,13,4,4,2,12,1,0
1478539040000,311.72037037037035,13,6,12,11,13,4,11,0,0
1478539046000,311.7204398148148,5,14,4,3,3,3,4,1,0
1478539055000,311.72054398148146,12,4,6,3,6,2,4,1,0
1478539069000,311.7207060185185,11,10,14,7,10,1,11,1,0
1478539089000,311.7209375,4,11,3,7,3,1,4,1,0
1478539110000,311.7211805555556,9,3,14,8,14,3,14,1,1
1478539116000,311.72125,5,7,12,4,5,3,12,1,0
1478539122000,311.7213194444444,3,12,14,7,7,4,7,1,1
1478539257000,311.72288194444445,13,14,9,8,13,2,14,1,0
1478539267000,311.7229976851852,11,8,12,4,11,4,4,1,0
1478539272000,311.72305555555556,13,5,6,4,6,3,6,0,1
1478539274000,311.7230787037037,4,5,13,11,5,4,11,1,0
1478539286000,311.7232175925926,12,5,14,2,2,4,2,0,1
1478539628000,311.7271759259259,10,6,2,1,1,3,2,1,0
1478539631000,311.7272106481482,12,3,14,7,3,2,3,0,1
1478539634000,311.7272453703704,11,4,7,10,4,4,10,0,0
1478539660000,311.7275462962963,11,5,9,14,9,4,14,1,0
1478539677000,311.72774305555555,8,13,5,11,5,3,5,1,1
1478539687000,311.7278587962963,6,7,12,5,6,1,6,0,1
1478540272000,311.73462962962964,9,3,4,8,8,2,3,1,0
1478540287000,311.73480324074075,12,3,7,13,3,4,13,0,0
1478540294000,311.7348842592593,6,7,14,12,6,1,6,0,1
1478540848000,311.7412962962963,12,14,11,2,14,2,14,0,1
1478540856000,311.7413888888889,6,3,12,14,12,3,12,1,1
1478540863000,311.7414699074074,4,2,12,14,4,4,14,1,0
1478540871000,311.7415625,7,13,14,6,13,2,13,0,1
1478540877000,311.74163194444446,3,7,2,4,3,3,2,1,0
1478540881000,311.7416782407407,10,13,4,3,4,3,4,0,1
1478540886000,311.7417361111111,4,9,7,14,7,3,7,1,1
1478540919000,311.7421180555556,14,7,8,11,7,2,7,0,1
1478540926000,311.74219907407405,8,6,5,7,6,2,6,0,1
1478541016000,311.74324074074076,2,14,4,8,2,3,4,1,0
1478541030000,311.74340277777776,14,1,5,4,1,2,1,0,1
1478541199000,311.7453587962963,14,12,9,7,9,3,9,0,1
1478541211000,311.74549768518517,4,13,2,3,3,4,3,0,1
1478541229000,311.74570601851855,3,2,7,12,3,4,12,1,0
1478542144000,311.7562962962963,6,11,1,12,1,2,11,1,0
1478542157000,311.75644675925923,3,13,2,10,10,4,10,0,1
1478542164000,311.75652777777776,4,12,10,8,10,4,8,1,0
1478542168000,311.7565740740741,10,12,2,3,3,4,3,0,1
1478542171000,311.7566087962963,4,5,13,8,13,3,13,1,1
1478542184000,311.75675925925924,14,3,6,10,10,1,14,1,0
1478542187000,311.7567939814815,8,7,10,14,7,2,7,0,1
1478542191000,311.75684027777777,10,12,8,13,10,1,10,0,1
1478542194000,311.756875,5,8,6,2,5,2,8,0,0
1478542200000,311.75694444444446,9,11,5,13,13,4,13,0,1
1478542204000,311.7569907407407,12,13,11,9,11,3,11,1,1
1478542968000,311.7658333333333,5,7,14,12,5,4,12,1,0
1478542972000,311.76587962962964,8,14,6,3,3,4,3,0,1
1478542987000,311.76605324074075,7,3,6,5,7,4,5,0,0
1478543012000,311.7663425925926,8,10,3,2,10,2,10,0,1
1478543018000,311.766412037037,12,13,7,2,7,2,13,1,0
1478543034000,311.76659722222223,4,5,14,9,14,4,9,1,0
1478543038000,311.7666435185185,12,10,14,7,7,2,10,1,0
1478543046000,311.76673611111113,13,9,4,7,7,4,7,0,1
1478543049000,311.76677083333334,7,2,4,13,13,4,13,0,1
1478543068000,311.76699074074077,10,13,2,3,10,3,2,0,0
1478543073000,311.76704861111114,9,11,4,6,6,4,6,1,1
1478543210000,311.7686342592593,12,3,13,4,12,3,13,0,0
1478543213000,311.7686689814815,7,10,13,11,11,2,10,1,0
1478543222000,311.76877314814817,4,13,7,9,9,4,9,1,1
1478543231000,311.7688773148148,5,9,12,7,9,1,5,0,0
1478544079000,311.77869212962963,8,6,3,9,6,2,6,1,1
1478544622000,311.78497685185187,6,9,3,8,8,2,9,1,0
1478544650000,311.7853009259259,3,4,10,9,10,4,9,0,0
1478545465000,311.79473379629627,4,2,12,7,4,1,4,1,1
1478545483000,311.79494212962965,4,10,9,14,4,1,4,0,1
1478545537000,311.7955671296296,11,6,13,3,11,1,11,1,1
