timestamp,days_from_20160101,stimchoice1,stimchoice2,stimchosen,correctidx,correct_stim,is_choice_color,chose_correct
1453726118413,24.53377792824074,4,10,10,2,10,1,1
1453726412377,24.537180289351852,9,3,9,1,9,1,1
1453726630960,24.539710185185186,3,6,3,2,6,0,0
1453726672953,24.54019621527778,5,11,11,2,11,1,1
1453726680479,24.540283321759258,10,4,4,2,4,1,1
1453726692525,24.540422743055554,8,2,2,2,2,1,1
1453726781687,24.541454710648146,2,14,2,1,2,0,1
1453726784746,24.54149011574074,1,7,1,2,7,1,0
1453726824445,24.541949594907404,3,13,13,2,13,0,1
1453726841954,24.54215224537037,14,13,13,1,14,1,0
1453726858307,24.542341516203702,3,9,3,1,3,1,1
1453726864391,24.54241193287037,6,12,6,1,6,1,1
1453726876382,24.542550717592594,1,4,1,2,4,0,0
1453726922571,24.5430853125,3,9,9,1,3,1,0
1453726936458,24.543246041666666,6,10,6,1,6,0,1
1453726988137,24.543844178240743,4,6,6,1,4,0,0
1453727011782,24.544117847222225,4,10,4,1,4,1,1
1453727483118,24.549573125,6,12,6,1,6,1,1
1453727508950,24.549872106481484,11,3,3,1,11,0,0
1453727688181,24.55194653935185,7,10,10,1,7,0,0
1453727875325,24.554112557870372,13,14,14,1,13,1,0
1453727964279,24.555142118055556,5,3,3,1,5,0,0
1453728068204,24.556344953703704,11,5,11,2,5,1,0
1453728124371,24.55699503472222,10,4,4,2,4,1,1
1453728193582,24.557796087962963,1,3,3,1,1,0,0
1453731233118,24.592975902777777,12,9,9,2,9,0,1
1453731237614,24.593027939814817,9,12,12,1,9,0,0
1453731551353,24.596659178240742,12,6,6,1,12,1,0
1453731555212,24.59670384259259,7,1,7,1,7,1,1
1453731895705,24.600644733796297,8,1,8,2,1,0,0
1453731898977,24.600682604166668,13,14,13,1,13,1,1
1453731943742,24.601200717592594,10,4,10,2,4,1,0
1453731951187,24.601286886574073,8,2,2,1,8,1,0
1453732165408,24.603766296296293,2,8,8,2,8,1,1
1453732184058,24.603982152777782,7,1,7,2,1,1,0
1453732264018,24.604907615740743,7,1,7,1,7,1,1
1453732304284,24.60537365740741,5,11,5,1,5,1,1
1453732346781,24.605865520833333,8,2,2,2,2,1,1
1453732387775,24.606339988425926,6,12,12,1,6,1,0
1453732396702,24.606443310185185,2,7,7,2,7,0,1
1453732436743,24.606906747685183,6,12,12,1,6,1,0
1453732467291,24.607260312500003,6,12,12,2,12,1,1
1453732514372,24.607805231481482,8,1,8,2,1,0,0
1453732556469,24.608292465277778,12,6,12,2,6,1,0
1453732607036,24.60887773148148,3,9,9,1,3,1,0
1453732702633,24.60998417824074,10,1,1,2,1,0,1
1453732778186,24.610858634259262,13,14,14,2,14,1,1
1453732847393,24.611659641203705,4,10,4,1,4,1,1
1453733010231,24.61354434027778,12,6,6,1,12,1,0
1453733118827,24.614801238425926,7,9,7,1,7,0,1
1453733121636,24.61483375,6,12,12,1,6,1,0
1453733305193,24.616958252314813,2,8,2,1,2,1,1
1453733363887,24.61763758101852,4,14,14,1,4,0,0
1453733664824,24.62112064814815,14,3,14,2,3,0,0
1453733731716,24.621894861111112,2,6,6,1,2,0,0
1453734315215,24.628648321759258,12,6,6,1,12,1,0
1453734358360,24.629147685185185,4,10,4,2,10,1,0
1453735436714,24.641628634259263,3,10,10,1,3,0,0
1453735537613,24.64279644675926,6,12,6,1,6,1,1
1453735604772,24.643573749999998,5,11,11,1,5,1,0
1453735697478,24.644646736111113,14,13,14,2,13,1,0
1453738154978,24.67309002314815,2,8,8,1,2,1,0
1453739166992,24.68480314814815,14,3,3,1,14,0,0
1453740137129,24.69603158564815,14,13,13,1,14,1,0
1453740470334,24.699888124999998,10,2,10,1,10,0,1
1453740474490,24.699936226851854,12,6,6,2,6,1,1
1453740477400,24.699969907407407,7,1,1,2,1,1,1
1453742251689,24.72050565972222,12,6,12,2,6,1,0
1453742255071,24.72054480324074,1,7,1,1,1,1,1
1453742300860,24.721074768518516,9,3,9,2,3,1,0
1453742340144,24.721529444444442,8,9,9,2,9,0,1
1453742832033,24.727222604166666,12,3,12,1,12,0,1
1453742844796,24.727370324074077,7,5,5,1,7,0,0
1453742944132,24.7285200462963,9,3,3,2,3,1,1
1453743216981,24.731678020833336,7,1,1,1,7,1,0
1453743219253,24.73170431712963,8,2,2,1,8,1,0
1453743222509,24.731742002314817,14,13,13,1,14,1,0
1453743325736,24.73293675925926,11,1,1,2,1,0,1
1453743356787,24.733296145833332,7,1,1,2,1,1,1
1453743781576,24.738212685185182,5,10,5,1,5,0,1
1453744094126,24.74183016203704,13,14,13,1,13,1,1
1453744184586,24.74287715277778,6,7,6,1,6,0,1
1453744190066,24.742940578703706,7,1,7,1,7,1,1
1453744193244,24.74297736111111,8,2,2,1,8,1,0
1453744589467,24.747563275462966,13,14,14,2,14,1,1
1453744603026,24.747720208333334,3,13,3,1,3,0,1
1453744665350,24.74844155092593,10,4,4,2,4,1,1
1453744684218,24.748659930555554,6,12,12,1,6,1,0
1453744763386,24.74957622685185,6,12,12,1,6,1,0
1453745333354,24.7561730787037,5,11,11,1,5,1,0
1453745345823,24.75631739583333,7,1,7,2,1,1,0
1453745360845,24.756491261574077,8,6,8,1,8,0,1
1453745432415,24.757319618055558,6,9,6,1,6,0,1
1453746596616,24.770794166666665,4,5,4,2,5,0,0
1453801763344,25.409297962962963,7,1,1,1,7,1,0
1453801899982,25.410879421296293,12,6,6,1,12,1,0
1453801933839,25.411271284722226,6,12,6,1,6,1,1
1453801962756,25.411605972222223,2,8,8,1,2,1,0
1453801987281,25.41188982638889,9,13,13,2,13,0,1
1453802054015,25.41266221064815,4,9,4,1,4,0,1
1453802085068,25.41302162037037,3,9,3,1,3,1,1
1453802090347,25.413082719907408,1,7,7,1,1,1,0
1453802125952,25.413494814814815,4,10,4,1,4,1,1
1453802128206,25.413520902777776,8,2,8,1,8,1,1
1453802168280,25.41398472222222,10,1,10,1,10,0,1
1453802208524,25.41445050925926,13,14,14,1,13,1,0
1453802237931,25.414790868055555,8,2,2,1,8,1,0
1453802246814,25.414893680555554,8,2,2,1,8,1,0
1453802340431,25.415977210648148,6,3,6,1,6,0,1
1453802471362,25.41749261574074,14,4,4,1,14,0,0
1453802546083,25.41835744212963,5,11,5,1,5,1,1
1453802931349,25.42281653935185,7,3,7,2,3,0,0
